Keywords related to non-TRIZ activating creativitive thinking techniques:
đối tượng tiêu điểm : Method of Focal Objects
phân tích hình thái : Morphological Analysis Method
câu hỏi kiểm tra : Check-listing Method
não công : Brainstorming
Synectics : (method of using analogies)
tích cực hóa tư duy : Methods of activating creativitive thinking
đối tượng tiêu điểm, phân tích hình thái, câu hỏi kiểm tra, não công, Synectics, tích cực hóa tư duy : combine non-TRIZ

Keywords related to TRIZ techniques:
biến đổi mẫu : (11) separation principles
thủ thuật, nguyên tắc : (40) basic creativity principles

biến hại thành lợi
cầu hóa, cầu tròn hóa
đẳng thế
dự phòng
kết hợp
liên tục các tác động có ích, liên tục tác động có ích
linh động
phân nhỏ
quan hệ phản hồi
tách khỏi
tự phục vụ
ứng suất sơ bộ
vạn năng
thực hiện sơ bộ
giải thiếu
giải thừa
chuyển sang chiều khác
đảo ngược
chứa trong

biến đổi mẫu, thủ thuật, nguyên tắc, biến hại thành lợi, cầu hóa, cầu tròn hóa, đẳng thế, dự phòng, kết hợp, liên tục các tác động có ích, liên tục tác động có ích, linh động, phân nhỏ, quan hệ phản hồi, tách khỏi, tự phục vụ, ứng suất sơ bộ, vạn năng, thực hiện sơ bộ, giải thiếu, giải thừa, chuyển sang chiều khác, đảo ngược, chứa trong : combine TRIZ
